division,pangoShort,date,count,count_tot,count_tot2,frac,count_tot3
Bern,B.1.1.28,2020-03-04,0,0,0,,0
Bern,B.1.1.7,2020-03-04,0,0,0,,0
Bern,B.1.351,2020-03-04,0,0,0,,0
Bern,B.1.617.1,2020-03-04,0,0,0,,0
Bern,B.1.617.2,2020-03-04,0,0,0,,0
Bern,other,2020-03-04,0,0,0,,0
Bern,B.1.1.28,2020-03-05,0,0,0,,0
Bern,B.1.1.7,2020-03-05,0,0,0,,0
Bern,B.1.351,2020-03-05,0,0,0,,0
Bern,B.1.617.1,2020-03-05,0,0,0,,0
Bern,B.1.617.2,2020-03-05,0,0,0,,0
Bern,other,2020-03-05,0,0,0,,0
Bern,B.1.1.28,2020-03-06,0,0,0,0.0,1
Bern,B.1.1.7,2020-03-06,0,0,0,0.0,1
Bern,B.1.351,2020-03-06,0,0,0,0.0,1
Bern,B.1.617.1,2020-03-06,0,0,0,0.0,1
Bern,B.1.617.2,2020-03-06,0,0,0,0.0,1
Bern,other,2020-03-06,1,1,1,1.0,1
Bern,B.1.1.28,2020-03-09,0,0,0,,0
Bern,B.1.1.7,2020-03-09,0,0,0,,0
Bern,B.1.351,2020-03-09,0,0,0,,0
Bern,B.1.617.1,2020-03-09,0,0,0,,0
Bern,B.1.617.2,2020-03-09,0,0,0,,0
Bern,other,2020-03-09,0,0,0,,0
Bern,B.1.1.28,2020-03-10,0,0,0,0.0,2
Bern,B.1.1.7,2020-03-10,0,0,0,0.0,2
Bern,B.1.351,2020-03-10,0,0,0,0.0,2
Bern,B.1.617.1,2020-03-10,0,0,0,0.0,2
Bern,B.1.617.2,2020-03-10,0,0,0,0.0,2
Bern,other,2020-03-10,2,4,2,1.0,2
Bern,B.1.1.28,2020-03-11,0,0,0,0.0,2
Bern,B.1.1.7,2020-03-11,0,0,0,0.0,2
Bern,B.1.351,2020-03-11,0,0,0,0.0,2
Bern,B.1.617.1,2020-03-11,0,0,0,0.0,2
Bern,B.1.617.2,2020-03-11,0,0,0,0.0,2
Bern,other,2020-03-11,2,4,2,1.0,2
Bern,B.1.1.28,2020-03-12,0,0,0,0.0,4
Bern,B.1.1.7,2020-03-12,0,0,0,0.0,4
Bern,B.1.351,2020-03-12,0,0,0,0.0,4
Bern,B.1.617.1,2020-03-12,0,0,0,0.0,4
