,city,index,variant,estimate,frac
0,Altenrhein (SG),2021-02-01,B.1.1.7,lower,0.19585885431913422
1,Altenrhein (SG),2021-02-01,B.1.351,lower,0.0
2,Altenrhein (SG),2021-02-01,B.1.617.1,lower,0.0
3,Altenrhein (SG),2021-02-01,B.1.617.2,lower,0.0
4,Altenrhein (SG),2021-02-01,P.1,lower,0.0
5,Altenrhein (SG),2021-02-01,undetermined,lower,0.5331378357655427
6,Altenrhein (SG),2021-02-02,B.1.1.7,lower,0.20358806992250494
7,Altenrhein (SG),2021-02-02,B.1.351,lower,0.0
8,Altenrhein (SG),2021-02-02,B.1.617.1,lower,0.0
9,Altenrhein (SG),2021-02-02,B.1.617.2,lower,0.0
10,Altenrhein (SG),2021-02-02,P.1,lower,0.0
11,Altenrhein (SG),2021-02-02,undetermined,lower,0.5300594823527724
12,Altenrhein (SG),2021-02-03,B.1.1.7,lower,0.21658473548806736
13,Altenrhein (SG),2021-02-03,B.1.351,lower,0.0
14,Altenrhein (SG),2021-02-03,B.1.617.1,lower,0.0
15,Altenrhein (SG),2021-02-03,B.1.617.2,lower,0.0
16,Altenrhein (SG),2021-02-03,P.1,lower,0.0
17,Altenrhein (SG),2021-02-03,undetermined,lower,0.5262657293834146
18,Altenrhein (SG),2021-02-04,B.1.1.7,lower,0.22955868133963714
19,Altenrhein (SG),2021-02-04,B.1.351,lower,0.0
20,Altenrhein (SG),2021-02-04,B.1.617.1,lower,0.0
21,Altenrhein (SG),2021-02-04,B.1.617.2,lower,2.8172621155969085e-05
22,Altenrhein (SG),2021-02-04,P.1,lower,0.0
23,Altenrhein (SG),2021-02-04,undetermined,lower,0.5204852644209894
24,Altenrhein (SG),2021-02-05,B.1.1.7,lower,0.24566265098608317
25,Altenrhein (SG),2021-02-05,B.1.351,lower,0.0
26,Altenrhein (SG),2021-02-05,B.1.617.1,lower,0.0
27,Altenrhein (SG),2021-02-05,B.1.617.2,lower,9.935672484904169e-05
28,Altenrhein (SG),2021-02-05,P.1,lower,0.0
29,Altenrhein (SG),2021-02-05,undetermined,lower,0.5195944534509228
30,Altenrhein (SG),2021-02-06,B.1.1.7,lower,0.2600098655649394
31,Altenrhein (SG),2021-02-06,B.1.351,lower,0.0
32,Altenrhein (SG),2021-02-06,B.1.617.1,lower,0.0
33,Altenrhein (SG),2021-02-06,B.1.617.2,lower,0.00020218876815528977
34,Altenrhein (SG),2021-02-06,P.1,lower,4.753940042529542e-05
35,Altenrhein (SG),2021-02-06,undetermined,lower,0.5185614414465111
36,Altenrhein (SG),2021-02-07,B.1.1.7,lower,0.2761773264922506
37,Altenrhein (SG),2021-02-07,B.1.351,lower,0.0
38,Altenrhein (SG),2021-02-07,B.1.617.1,lower,0.0
39,Altenrhein (SG),2021-02-07,B.1.617.2,lower,0.0002623493365541002
40,Altenrhein (SG),2021-02-07,P.1,lower,6.573691971675567e-05
41,Altenrhein (SG),2021-02-07,undetermined,lower,0.5129063299967659
42,Altenrhein (SG),2021-02-08,B.1.1.7,lower,0.28887152959899126
43,Altenrhein (SG),2021-02-08,B.1.351,lower,0.0
44,Altenrhein (SG),2021-02-08,B.1.617.1,lower,0.0
45,Altenrhein (SG),2021-02-08,B.1.617.2,lower,0.0002548031683373983
46,Altenrhein (SG),2021-02-08,P.1,lower,9.222292098193919e-06
47,Altenrhein (SG),2021-02-08,undetermined,lower,0.5137679642531265
48,Altenrhein (SG),2021-02-09,B.1.1.7,lower,0.30130707054244044
49,Altenrhein (SG),2021-02-09,B.1.351,lower,0.0
50,Altenrhein (SG),2021-02-09,B.1.617.1,lower,0.0
51,Altenrhein (SG),2021-02-09,B.1.617.2,lower,0.00011261931453008931
52,Altenrhein (SG),2021-02-09,P.1,lower,0.0
53,Altenrhein (SG),2021-02-09,undetermined,lower,0.5099027874866244
54,Altenrhein (SG),2021-02-10,B.1.1.7,lower,0.3114890770887477
55,Altenrhein (SG),2021-02-10,B.1.351,lower,0.0
