,city,estimate,variant,frac
2021-08-25,Lugano (TI),MSE,B.1.1.7,0.002713967329921789
2021-08-26,Lugano (TI),MSE,B.1.1.7,0.0026696935756146253
2021-08-27,Lugano (TI),MSE,B.1.1.7,0.002698547333990823
2021-08-28,Lugano (TI),MSE,B.1.1.7,0.0027834001206857406
2021-08-29,Lugano (TI),MSE,B.1.1.7,0.002902020246684484
2021-08-30,Lugano (TI),MSE,B.1.1.7,0.0030332416650531236
2021-08-31,Lugano (TI),MSE,B.1.1.7,0.0031607635400821106
2021-08-18,Lugano (TI),MSE,B.1.1.7,0.003655796385235475
2021-08-19,Lugano (TI),MSE,B.1.1.7,0.0037049425126648937
2021-08-20,Lugano (TI),MSE,B.1.1.7,0.0036367678378158314
2021-08-21,Lugano (TI),MSE,B.1.1.7,0.0034722342355640195
2021-08-22,Lugano (TI),MSE,B.1.1.7,0.0032523582856460983
2021-08-23,Lugano (TI),MSE,B.1.1.7,0.003025914794708524
2021-08-24,Lugano (TI),MSE,B.1.1.7,0.0028365866770423535
2021-08-11,Lugano (TI),MSE,B.1.1.7,0.002239909751602106
2021-08-12,Lugano (TI),MSE,B.1.1.7,0.0022469156914675732
2021-08-13,Lugano (TI),MSE,B.1.1.7,0.0024037485952743665
2021-08-14,Lugano (TI),MSE,B.1.1.7,0.0026555666020789655
2021-08-15,Lugano (TI),MSE,B.1.1.7,0.0029520188669694106
2021-08-16,Lugano (TI),MSE,B.1.1.7,0.0032463148865152247
2021-08-17,Lugano (TI),MSE,B.1.1.7,0.003494040553642909
2021-08-04,Lugano (TI),MSE,B.1.1.7,0.006905782061046161
2021-08-05,Lugano (TI),MSE,B.1.1.7,0.005875381460257184
2021-08-06,Lugano (TI),MSE,B.1.1.7,0.005133420636067759
2021-08-07,Lugano (TI),MSE,B.1.1.7,0.004575494151934706
2021-08-08,Lugano (TI),MSE,B.1.1.7,0.0036100091827691375
2021-08-09,Lugano (TI),MSE,B.1.1.7,0.0028888340569475784
2021-08-10,Lugano (TI),MSE,B.1.1.7,0.0024385166776199735
2021-07-28,Lugano (TI),MSE,B.1.1.7,0.01152749155492263
2021-07-29,Lugano (TI),MSE,B.1.1.7,0.010501266581960995
2021-07-30,Lugano (TI),MSE,B.1.1.7,0.009964839032038254
2021-07-31,Lugano (TI),MSE,B.1.1.7,0.009709810012360924
2021-08-01,Lugano (TI),MSE,B.1.1.7,0.009526867316247113
2021-08-02,Lugano (TI),MSE,B.1.1.7,0.009234482200065699
2021-08-03,Lugano (TI),MSE,B.1.1.7,0.008183660704698293
2021-07-21,Lugano (TI),MSE,B.1.1.7,0.021906260942940015
2021-07-22,Lugano (TI),MSE,B.1.1.7,0.022813644851478503
2021-07-23,Lugano (TI),MSE,B.1.1.7,0.02252224461590826
2021-07-24,Lugano (TI),MSE,B.1.1.7,0.020908956154699714
2021-07-25,Lugano (TI),MSE,B.1.1.7,0.018344423530827075
2021-07-26,Lugano (TI),MSE,B.1.1.7,0.015566555350947255
2021-07-27,Lugano (TI),MSE,B.1.1.7,0.013206912051073981
2021-07-15,Lugano (TI),MSE,B.1.1.7,0.010193942424597697
2021-07-16,Lugano (TI),MSE,B.1.1.7,0.011209073396731056
2021-07-17,Lugano (TI),MSE,B.1.1.7,0.013123155510623444
2021-07-18,Lugano (TI),MSE,B.1.1.7,0.015475700693408498
2021-07-19,Lugano (TI),MSE,B.1.1.7,0.017915795825888915
2021-07-20,Lugano (TI),MSE,B.1.1.7,0.020156682790132854
2021-07-07,Lugano (TI),MSE,B.1.1.7,0.1010367288279944
2021-07-08,Lugano (TI),MSE,B.1.1.7,0.08041378694600453
2021-07-09,Lugano (TI),MSE,B.1.1.7,0.060359127196194094
2021-07-10,Lugano (TI),MSE,B.1.1.7,0.04268970510733667
2021-07-11,Lugano (TI),MSE,B.1.1.7,0.02874832701308708
2021-07-12,Lugano (TI),MSE,B.1.1.7,0.01903362027751585
2021-07-13,Lugano (TI),MSE,B.1.1.7,0.013347272186784774
2021-06-30,Lugano (TI),MSE,B.1.1.7,0.25190711690041145
2021-07-01,Lugano (TI),MSE,B.1.1.7,0.22281148122214242
2021-07-02,Lugano (TI),MSE,B.1.1.7,0.19747011674207135
2021-07-03,Lugano (TI),MSE,B.1.1.7,0.17594819843329149
2021-07-04,Lugano (TI),MSE,B.1.1.7,0.1570842336012954
2021-07-05,Lugano (TI),MSE,B.1.1.7,0.1391876637970893
2021-07-06,Lugano (TI),MSE,B.1.1.7,0.12076169249396072
2021-06-23,Lugano (TI),MSE,B.1.1.7,0.4885416168461877
2021-06-24,Lugano (TI),MSE,B.1.1.7,0.45408516479544575
2021-06-25,Lugano (TI),MSE,B.1.1.7,0.4191653334109019
2021-06-26,Lugano (TI),MSE,B.1.1.7,0.3851961538699439
2021-06-27,Lugano (TI),MSE,B.1.1.7,0.3514946907767643
2021-06-28,Lugano (TI),MSE,B.1.1.7,0.3178542411356417
2021-06-29,Lugano (TI),MSE,B.1.1.7,0.2840818786051512
2021-06-17,Lugano (TI),MSE,B.1.1.7,0.7771951871498582
2021-06-18,Lugano (TI),MSE,B.1.1.7,0.7180278733773788
2021-06-19,Lugano (TI),MSE,B.1.1.7,0.661337651677025
2021-06-20,Lugano (TI),MSE,B.1.1.7,0.6102588007095846
2021-06-22,Lugano (TI),MSE,B.1.1.7,0.5251103722689839
2021-06-09,Lugano (TI),MSE,B.1.1.7,0.9100457577241663
2021-06-10,Lugano (TI),MSE,B.1.1.7,0.914049383478249
2021-06-11,Lugano (TI),MSE,B.1.1.7,0.9167431367372012
2021-06-12,Lugano (TI),MSE,B.1.1.7,0.915791285746257
2021-06-13,Lugano (TI),MSE,B.1.1.7,0.9086469333110363
2021-06-14,Lugano (TI),MSE,B.1.1.7,0.8929023793622166
2021-06-15,Lugano (TI),MSE,B.1.1.7,0.8668214571115905
2021-06-02,Lugano (TI),MSE,B.1.1.7,0.9078641684657086
2021-06-03,Lugano (TI),MSE,B.1.1.7,0.9056995505279732
2021-06-04,Lugano (TI),MSE,B.1.1.7,0.9039194803928124
2021-06-05,Lugano (TI),MSE,B.1.1.7,0.9031396490194669
