index,city,estimate,variant,frac
2021-08-25,Lugano (TI),robust,B.1.1.7,0.0012699378495422402
2021-08-26,Lugano (TI),robust,B.1.1.7,0.0012033478266648817
2021-08-27,Lugano (TI),robust,B.1.1.7,0.00115333979498936
2021-08-28,Lugano (TI),robust,B.1.1.7,0.0011257082996993057
2021-08-29,Lugano (TI),robust,B.1.1.7,0.0011248820250015286
2021-08-30,Lugano (TI),robust,B.1.1.7,0.0011536664682044817
2021-08-31,Lugano (TI),robust,B.1.1.7,0.0012134389374992539
2021-08-18,Lugano (TI),robust,B.1.1.7,0.0014673248427304842
2021-08-19,Lugano (TI),robust,B.1.1.7,0.0015331538417473563
2021-08-20,Lugano (TI),robust,B.1.1.7,0.001557291216176154
2021-08-21,Lugano (TI),robust,B.1.1.7,0.0015409172763452994
2021-08-22,Lugano (TI),robust,B.1.1.7,0.0014924768710988248
2021-08-23,Lugano (TI),robust,B.1.1.7,0.0014236759146358002
2021-08-24,Lugano (TI),robust,B.1.1.7,0.0013461488926410556
2021-08-11,Lugano (TI),robust,B.1.1.7,0.0009197636488098559
2021-08-12,Lugano (TI),robust,B.1.1.7,0.0009285764880293076
2021-08-13,Lugano (TI),robust,B.1.1.7,0.0009691235127846725
2021-08-14,Lugano (TI),robust,B.1.1.7,0.0010400199635774829
2021-08-15,Lugano (TI),robust,B.1.1.7,0.001137267980378924
2021-08-16,Lugano (TI),robust,B.1.1.7,0.001251793601974899
2021-08-17,Lugano (TI),robust,B.1.1.7,0.0013681389272325213
2021-08-04,Lugano (TI),robust,B.1.1.7,0.0015704326588150872
2021-08-05,Lugano (TI),robust,B.1.1.7,0.001436035699439873
2021-08-06,Lugano (TI),robust,B.1.1.7,0.001304413353291062
2021-08-07,Lugano (TI),robust,B.1.1.7,0.0011823155108441987
2021-08-08,Lugano (TI),robust,B.1.1.7,0.0010774215751270758
2021-08-09,Lugano (TI),robust,B.1.1.7,0.000996078539819805
2021-08-10,Lugano (TI),robust,B.1.1.7,0.0009426585880407092
2021-07-28,Lugano (TI),robust,B.1.1.7,0.0035827446013114517
2021-07-29,Lugano (TI),robust,B.1.1.7,0.0029639302647194495
2021-07-30,Lugano (TI),robust,B.1.1.7,0.0025285682070551336
2021-07-31,Lugano (TI),robust,B.1.1.7,0.002226879364119135
2021-08-01,Lugano (TI),robust,B.1.1.7,0.0020120246164690987
2021-08-02,Lugano (TI),robust,B.1.1.7,0.0018470688868370486
2021-08-03,Lugano (TI),robust,B.1.1.7,0.0017054503928643772
2021-07-21,Lugano (TI),robust,B.1.1.7,0.007123170813967384
2021-07-22,Lugano (TI),robust,B.1.1.7,0.0075102634774777315
2021-07-23,Lugano (TI),robust,B.1.1.7,0.007582167491119599
2021-07-24,Lugano (TI),robust,B.1.1.7,0.007213110746539409
2021-07-25,Lugano (TI),robust,B.1.1.7,0.00642413990245507
2021-07-26,Lugano (TI),robust,B.1.1.7,0.005410659564603158
2021-07-27,Lugano (TI),robust,B.1.1.7,0.00441240258558777
2021-07-15,Lugano (TI),robust,B.1.1.7,0.00491164347202763
2021-07-16,Lugano (TI),robust,B.1.1.7,0.004758025611729112
2021-07-17,Lugano (TI),robust,B.1.1.7,0.00496291297280799
2021-07-18,Lugano (TI),robust,B.1.1.7,0.005403936969094692
2021-07-19,Lugano (TI),robust,B.1.1.7,0.005970428382022179
2021-07-20,Lugano (TI),robust,B.1.1.7,0.006572153432565006
2021-07-07,Lugano (TI),robust,B.1.1.7,0.030474748390614693
2021-07-08,Lugano (TI),robust,B.1.1.7,0.02463819447782252
2021-07-09,Lugano (TI),robust,B.1.1.7,0.01935890158427667
2021-07-10,Lugano (TI),robust,B.1.1.7,0.014880791291958276
2021-07-11,Lugano (TI),robust,B.1.1.7,0.011308047783071415
2021-07-12,Lugano (TI),robust,B.1.1.7,0.008593442314105982
2021-07-13,Lugano (TI),robust,B.1.1.7,0.006734699657927158
2021-06-30,Lugano (TI),robust,B.1.1.7,0.09007321772302065
2021-07-01,Lugano (TI),robust,B.1.1.7,0.07676134160503442
2021-07-02,Lugano (TI),robust,B.1.1.7,0.06593764755145258
